Time,Iterations
0.000603037,100
0.00113457,200
0.00151775,300
0.00189907,400
0.00228052,500
0.00266115,600
0.00305424,700
0.00343716,800
0.00381849,900
0.00419969,1000
0.00458074,1100
0.00496194,1200
0.00534323,1300
0.0057246,1400
0.00610573,1500
0.00648601,1600
0.00688978,1700
0.00727195,1800
0.00765302,1900
0.00803429,2000
0.00841424,2100
0.00879558,2200
0.00917557,2300
0.00955706,2400
0.00993805,2500
0.0103193,2600
0.0107003,2700
0.0110835,2800
0.0114654,2900
0.011845,3000
0.0122248,3100
0.0126054,3200
0.0129852,3300
0.0133663,3400
0.0137465,3500
0.0141264,3600
0.01449,3700
0.014853,3800
0.0152125,3900
0.0155331,4000
0.0158536,4100
0.0161745,4200
0.0164642,4300
0.0167524,4400
0.0170397,4500
0.0173144,4600
0.0175736,4700
0.0178326,4800
0.0180928,4900
0.0183443,5000
0.0185912,5100
0.0188401,5200
0.0190873,5300
0.0193344,5400
0.0195823,5500
0.0198288,5600
0.0200749,5700
0.0203221,5800
0.0205691,5900
0.0208158,6000
0.0210627,6100
0.0213099,6200
0.021557,6300
0.0218033,6400
0.0220498,6500
0.0222965,6600
0.0225429,6700
0.0227966,6800
0.0230441,6900
0.0232966,7000
0.0235502,7100
0.0238037,7200
0.0240572,7300
0.0243086,7400
0.0245549,7500
0.0248027,7600
0.0250573,7700
0.0253119,7800
0.0255662,7900
0.0258196,8000
0.0260733,8100
0.026323,8200
0.0265695,8300
0.0268192,8400
0.0270661,8500
0.0273131,8600
0.0275599,8700
0.0278058,8800
0.0280523,8900
0.0283,9000
0.0285483,9100
0.0287965,9200
0.0290446,9300
0.0292931,9400
0.0295411,9500
0.0297899,9600
0.030038,9700
0.0302864,9800
0.0305336,9900
0.031043,10000
