Time,Iterations
0.00179706,10000
0.00200418,20000
0.00214138,30000
0.00224391,40000
0.00233361,50000
0.00240731,60000
0.00246796,70000
0.00253727,80000
0.00260962,90000
0.00267418,100000
0.00273806,110000
0.00280006,120000
0.00286243,130000
0.00292496,140000
0.00298852,150000
0.00305172,160000
0.00312994,170000
0.0031985,180000
0.00326779,190000
0.00334045,200000
0.00340879,210000
0.00347725,220000
0.00354623,230000
0.0036156,240000
0.00369273,250000
0.00376187,260000
0.00383047,270000
0.00389977,280000
0.00397014,290000
0.00404308,300000
0.00411202,310000
0.00418117,320000
0.00425432,330000
0.00432709,340000
0.00439226,350000
0.00445732,360000
0.00452218,370000
0.00458711,380000
0.00465117,390000
0.00471442,400000
0.00478143,410000
0.0048539,420000
0.00491848,430000
0.00498297,440000
0.00504653,450000
0.00510964,460000
0.00517322,470000
0.00524099,480000
0.00531625,490000
0.00540027,500000
0.00547786,510000
0.00555442,520000
0.00563005,530000
0.00570473,540000
0.0057897,550000
0.00587048,560000
0.00594503,570000
0.00602115,580000
0.00609301,590000
0.00616154,600000
0.00623063,610000
0.00631079,620000
0.00637971,630000
0.00644643,640000
0.00651148,650000
0.00658708,660000
0.00666276,670000
0.00672751,680000
0.00679018,690000
0.00685232,700000
0.00691562,710000
0.00697909,720000
0.0070411,730000
0.00710266,740000
0.00717161,750000
0.00723251,760000
0.00729429,770000
0.00735395,780000
0.00741332,790000
0.00747265,800000
0.00753151,810000
0.00758975,820000
0.00765707,830000
0.00771679,840000
0.00777537,850000
0.00783434,860000
0.00789353,870000
0.00795208,880000
0.0080119,890000
0.00807059,900000
0.00813773,910000
0.00820442,920000
0.0082583,930000
0.00833961,940000
0.00840771,950000
0.00847532,960000
0.00854268,970000
0.00861052,980000
0.00868552,990000
0.00876062,1000000
