Time,Iterations
0.000273385,129
0.000311766,229
0.000346435,329
0.000382995,429
0.000418685,529
0.000453415,629
0.000489945,729
0.000526085,829
0.000560244,929
0.000596784,1029
0.000632774,1129
0.000667344,1231
0.000703704,1331
0.000739554,1431
0.000774153,1531
0.000810613,1631
0.000846693,1731
0.000880883,1831
0.000916783,1931
0.000953033,2031
0.000988842,2131
0.00102301,2231
0.00105959,2331
0.00109484,2431
0.00113017,2531
0.00116665,2632
0.00120168,2732
0.00123776,2832
0.00127332,2932
0.00130872,3033
0.00134433,3133
0.00138021,3233
0.00141548,3333
0.00145082,3433
0.00148707,3533
0.00152236,3634
0.00155791,3734
0.00159365,3834
0.00162956,3935
0.00166515,4035
0.00170033,4135
0.00173644,4235
0.00177143,4335
0.00180689,4435
0.00184311,4535
0.00187871,4635
0.00191346,4735
0.00194986,4835
0.00198563,4935
0.00201994,5035
0.00205671,5136
0.00209302,5236
0.00212695,5336
0.00216304,5436
0.0021992,5536
0.00223393,5637
0.00227033,5737
0.00230609,5837
0.00234062,5937
0.00237705,6037
0.0024126,6137
0.00244744,6238
0.00248382,6338
0.00251941,6439
0.00255492,6539
0.00259044,6640
0.00262678,6740
0.00266132,6840
0.00269717,6940
0.00273345,7040
0.00276749,7140
0.00280382,7242
0.00284054,7342
0.00287669,7443
0.00291113,7543
0.00294769,7643
0.00298336,7744
0.00301822,7844
0.00306587,7944
0.00310198,8045
0.00313772,8145
0.00317247,8245
0.00320855,8345
0.0032437,8445
0.00327902,8545
0.00331503,8646
0.00335148,8746
0.00338587,8846
0.00342192,8946
0.00345799,9046
0.00349216,9146
0.00353073,9246
0.00359115,9346
0.00373369,9446
0.00392354,9546
0.00424744,9646
0.00462358,9746
0.00499957,9846
0.00537583,9946
0.00557886,10000
