Time,Iterations
9.038e-05,100
0.000145093,200
0.000199285,300
0.000252014,400
0.000305905,500
0.000361109,600
0.000414179,700
0.000467629,800
0.000521611,900
0.000576444,1000
0.000630125,1100
0.000683054,1200
0.000738348,1300
0.000792129,1400
0.000845139,1500
0.000898519,1600
0.000953583,1700
0.00100717,1800
0.00105996,1900
0.00111547,2000
0.00116918,2100
0.0012222,2200
0.00127524,2300
0.00133048,2400
0.00138461,2503
0.00143982,2603
0.00149396,2703
0.0015569,2803
0.00161025,2903
0.0016643,3003
0.00171916,3105
0.00177278,3205
0.00182691,3305
0.00188158,3406
0.00193474,3506
0.00198898,3606
0.00204391,3706
0.00209704,3807
0.0021512,3907
0.00220642,4008
0.00225955,4109
0.00231455,4209
0.00236894,4311
0.00242276,4411
0.00247732,4511
0.00253118,4611
0.00258439,4711
0.00263818,4811
0.00269223,4911
0.00274653,5011
0.00279971,5111
0.00285414,5211
0.0029078,5311
0.00296176,5411
0.0030148,5511
0.00306905,5611
0.00312412,5712
0.0031769,5812
0.00323091,5912
0.00328631,6015
0.00334011,6115
0.00339558,6215
0.00344884,6316
0.00350207,6416
0.00355761,6516
0.00361057,6616
0.00366415,6716
0.00371722,6816
0.00377285,6917
0.0038264,7017
0.0038794,7117
0.00393462,7217
0.00398859,7317
0.00404146,7417
0.00409559,7517
0.00415021,7617
0.00420369,7718
0.00425717,7818
0.00431234,7918
0.00436596,8019
0.00441899,8119
0.00447439,8219
0.00452819,8320
0.00458119,8420
0.00463671,8520
0.00469037,8620
0.00474339,8720
0.00507097,8820
0.00544766,8920
0.00585461,9020
0.0062255,9120
0.00659667,9220
0.00694872,9320
0.00727779,9420
0.00760697,9520
0.00792349,9620
0.00821978,9720
0.00851631,9820
0.00881263,9920
0.00902573,10000
